bond_pair,reaction,mol_name,mol_cas,mol_url,Hf_mol_kJ_mol,Hf_mol_ref,radA_name,radA_cas,radA_url,Hf_radA_kJ_mol,Hf_radA_ref,radB_name,radB_cas,radB_url,Hf_radB_kJ_mol,Hf_radB_ref,BDE_kJ_mol,status,notes
N-Cl,NH2Cl → NH2• + Cl•,Chloramine,10599-90-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10599903&Mask=1,,,Amino radical,13770-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13770406&Mask=1,190.37,"Chase, 1998",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Chloramine)
N=O,NO → N• + O•,Nitric oxide,10102-43-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10102439&Mask=1,90.29,"Chase, 1998",Nitrogen atom,17778-88-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778880&Mask=1,472.68,"Cox, Wagman, et al., 1984",Oxygen atom,17778-80-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778802&Mask=1,249.18,"Cox, Wagman, et al., 1984",631.57,ok,
N#N,N2 → 2 N•,Dinitrogen,7727-37-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7727379&Mask=1,0.0,definição IUPAC/CODATA — elemento no estado padrão,Nitrogen atom,17778-88-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778880&Mask=1,472.68,"Cox, Wagman, et al., 1984",Nitrogen atom,17778-88-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778880&Mask=1,472.68,"Cox, Wagman, et al., 1984",945.36,ok,
O-O,H2O2 → 2 OH•,Hydrogen peroxide,7722-84-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7722841&Mask=1,-136.11,"Chase, 1998",Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",214.09,ok,
O-F,OF2 → FO• + F•,Oxygen difluoride,7783-41-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783417&Mask=1,24.52,"Chase, 1998",Fluorooxy radical,14696-98-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14696981&Mask=1,,,Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Fluorooxy radical)
O-Cl,HOCl → OH• + Cl•,Hypochlorous acid,7790-92-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7790923&Mask=1,-74.48,"Chase, 1998",Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",234.77,ok,
O=O,O2 → 2 O•,Oxygen,7782-44-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7782447&Mask=1,0.0,definição IUPAC/CODATA — elemento no estado padrão,Oxygen atom,17778-80-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778802&Mask=1,249.18,"Cox, Wagman, et al., 1984",Oxygen atom,17778-80-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778802&Mask=1,249.18,"Cox, Wagman, et al., 1984",498.36,ok,
S-S,H2S2 → 2 SH•,Disulfane,13465-07-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13465071&Mask=1,,,Mercapto radical,13940-21-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13940211&Mask=1,139.33,"Chase, 1998",Mercapto radical,13940-21-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13940211&Mask=1,139.33,"Chase, 1998",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Disulfane)
S-F,SF6 → SF5• + F•,Sulfur hexafluoride,2551-62-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2551624&Mask=1,-1220.47,"Chase, 1998",Pentafluorosulfanyl radical,30540-36-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C30540364&Mask=1,,,Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Pentafluorosulfanyl radical)
S-Cl,SCl2 → SCl• + Cl•,Sulfur dichloride,10545-99-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10545990&Mask=1,-17.57,"Chase, 1998",Chlorosulfanyl radical,13812-43-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13812436&Mask=1,68.62,"Chase, 1998",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",207.49,ok,
S=O,SO2 → SO• + O•,Sulfur dioxide,7446-09-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7446095&Mask=1,-296.81,"Cox, Wagman, et al., 1984",Sulfonyl radical,13455-04-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13455044&Mask=1,,,Oxygen atom,17778-80-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778802&Mask=1,249.18,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Sulfonyl radical)
Si-Si,Si2H6 → 2 SiH3•,Disilane,1590-87-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1590870&Mask=1,,,Silyl radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,Silyl radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Disilane), ΔfH°(Silyl radical), ΔfH°(Silyl radical)"
Si-O,SiH3OH → SiH3• + OH•,Dihydroxysilane,13598-38-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13598384&Mask=1,,,Silyl radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Dihydroxysilane), ΔfH°(Silyl radical)"
