bond_pair,reaction,mol_name,mol_cas,mol_url,Hf_mol_kJ_mol,Hf_mol_ref,radA_name,radA_cas,radA_url,Hf_radA_kJ_mol,Hf_radA_ref,radB_name,radB_cas,radB_url,Hf_radB_kJ_mol,Hf_radB_ref,BDE_kJ_mol,status,notes
C=O-FORMALDEHYDE,H2CO → HCO• + H•,Formaldehyde,50-00-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C50000&Mask=1,-115.9,"Chase, 1998",Formyl radical,2122-46-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2122465&Mask=1,54.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",387.9,ok,
C=O-FORMIC,HCOOH → HCO• + OH•,Formic acid,64-18-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C64186&Mask=1,-378.6,"Guthrie, 1974",Formyl radical,2122-46-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2122465&Mask=1,54.0,"Tsang, 1996",Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",471.59,ok,
C=O-PROPANAL,C2H5CHO → C2H5CO• + H•,Propanal,123-38-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C123386&Mask=1,-188.7,"Wiberg, Crocker, et al., 1991",Propionyl radical,17994-23-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17994233&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Propionyl radical)
C-O-METHOXY,CH3OCH3 → CH3• + CH3O•,Dimethyl ether,115-10-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C115106&Mask=1,-184.1,"Pilcher, Pell, et al., 1964",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Methoxy radical,2143-68-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2143682&Mask=1,17.0,"Tsang, 1996",346.79,ok,
C-O-ETHOXY,C2H5OC2H5 → C2H5• + C2H5O•,Diethyl ether,60-29-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C60297&Mask=1,-252.7,"Pihlaja and Heikkil, 1968",Ethyl radical,2025-56-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2025561&Mask=1,119.0,"Tsang, 1996",Ethoxy radical,3031-74-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3031741&Mask=1,-210.0,"Stathis and Egerton, 1940",161.7,ok,
AR-C-H,C6H6 → C6H5• + H•,Benzene,71-43-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C71432&Mask=1,82.9,"Roux, Temprado, et al., 2008",Phenyl radical,2396-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2396012&Mask=1,339.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",474.1,ok,
AR-C-OH,C6H5OH → C6H5O• + H•,Phenol,108-95-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108952&Mask=1,-96.36,"Cox, 1961",Phenoxy radical,2122-46-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2122465&Mask=1,54.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",368.36,ok,
AR-C-NH2,C6H5NH2 → C6H5• + NH2•,Aniline,62-53-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C62533&Mask=1,87.03,"Hatton, Hildenbrand, et al., 1962",Phenyl radical,2396-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2396012&Mask=1,339.0,"Tsang, 1996",Amino radical,13770-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13770406&Mask=1,190.37,"Chase, 1998",442.34,ok,
AR-C-CH3,C6H5CH3 → C6H5CH2• + H•,Toluene,108-88-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108883&Mask=1,50.1,"Roux, Temprado, et al., 2008",Benzyl radical,2154-56-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2154565&Mask=1,207.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",374.9,ok,
AR-N-H,C5H5N → C5H4N• + H•,Pyridine,110-86-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110861&Mask=1,140.2,"Hubbard, Frow, et al., 1961",Pyridyl radical,71671-86-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C71671862&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Pyridyl radical)
AR-C-Cl,C6H5Cl → C6H5• + Cl•,Chlorobenzene,108-90-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108907&Mask=1,54.42,"Platonov and Simulin, 1985",Phenyl radical,2396-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2396012&Mask=1,339.0,"Tsang, 1996",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",405.88,ok,
AR-C-Br,C6H5Br → C6H5• + Br•,Bromobenzene,108-86-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108861&Mask=1,,,Phenyl radical,2396-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2396012&Mask=1,339.0,"Tsang, 1996",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Bromobenzene)
AR-C-F,C6H5F → C6H5• + F•,Fluorobenzene,462-06-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C462066&Mask=1,,,Phenyl radical,2396-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2396012&Mask=1,339.0,"Tsang, 1996",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Fluorobenzene)
AR-C-I,C6H5I → C6H5• + I•,Iodobenzene,591-50-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C591504&Mask=1,165.0,"Smith, 1956",Phenyl radical,2396-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2396012&Mask=1,339.0,"Tsang, 1996",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",280.76,ok,
NAPHTYL-H,C10H8 → C10H7• + H•,Naphthalene,91-20-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C91203&Mask=1,150.0,N/A,Naphthyl radical,13672-94-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13672941&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Naphthyl radical)
C-N-PEPTIDE,NH2CH2COOH → NH2CH2• + COOH•,Glycine,56-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C56406&Mask=1,-390.5,"Ngauv, Sabbah, et al., 1977",Aminomethyl radical,24339-00-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C24339006&Mask=1,,,Carboxyl radical,18492-38-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C18492381&Mask=1,,,,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Aminomethyl radical), ΔfH°(Carboxyl radical)"
N-N-DIAZO,CH2N2 → CHN2• + H•,Diazomethane,334-88-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C334883&Mask=1,215.0,"Laufer and Okabe, 1971",Diazomethyl radical,13874-02-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13874025&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Diazomethyl radical)
C-NO2,CH3NO2 → CH3• + NO2•,Nitromethane,75-52-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75525&Mask=1,-81.0,"Knobel, Miroshnichenko, et al., 1971",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Nitrogen dioxide,10102-44-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10102440&Mask=1,33.1,"Chase, 1998",259.79,ok,
C-NO2-AR,C6H5NO2 → C6H5• + NO2•,Nitrobenzene,98-95-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C98953&Mask=1,68.53,"Lebedeva, Katin, et al., 1971",Phenyl radical,2396-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2396012&Mask=1,339.0,"Tsang, 1996",Nitrogen dioxide,10102-44-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10102440&Mask=1,33.1,"Chase, 1998",303.57,ok,
N-NO,N2O → N• + NO•,Dinitrogen monoxide,10024-97-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10024972&Mask=1,82.05,"Chase, 1998",Nitrogen atom,17778-88-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17778880&Mask=1,472.68,"Cox, Wagman, et al., 1984",Nitric oxide,10102-43-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10102439&Mask=1,90.29,"Chase, 1998",480.92,ok,
C-NC,CH3NC → CH3• + CN•,Methyl isocyanide,593-75-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593759&Mask=1,163.5,"Baghal-Vayjooee, Collister, et al., 1977",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Cyanide radical,2074-87-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2074875&Mask=1,435.14,"Chase, 1998",417.33,ok,
C-CN,CH3CN → CH3• + CN•,Acetonitrile,75-05-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75058&Mask=1,74.04,"An and Mansson, 1983",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Cyano radical,2074-87-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2074875&Mask=1,435.14,"Chase, 1998",506.79,ok,
C-S-DISULFIDE,CH3SSCH3 → 2 CH3S•,Dimethyl disulfide,624-92-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C624920&Mask=1,-24.1,"Voronkov, Klyuchnikov, et al., 1989",Methylthio radical,13140-12-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13140126&Mask=1,,,Methylthio radical,13140-12-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13140126&Mask=1,,,,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Methylthio radical), ΔfH°(Methylthio radical)"
C-S-THIOETHER,CH3SCH3 → CH3• + CH3S•,Dimethyl sulfide,75-18-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Mask=1,-37.5,"Voronkov, Klyuchnikov, et al., 1989",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Methylthio radical,13140-12-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13140126&Mask=1,,,,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Methylthio radical)
Sn-C,Sn(CH3)4 → Sn(CH3)3• + CH3•,Tetramethyltin,594-27-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C594274&Mask=1,-20.0,N/A,Trimethyltin radical,17655-96-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17655962&Mask=1,,,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Trimethyltin radical)
Ge-C,Ge(CH3)4 → Ge(CH3)3• + CH3•,Tetramethylgermane,865-52-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C865521&Mask=1,-72.8,Martinho Simões,Trimethylgermyl radical,52299-15-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C52299153&Mask=1,,,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Trimethylgermyl radical)
Pb-C,Pb(CH3)4 → Pb(CH3)3• + CH3•,Tetramethyllead,75-74-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75741&Mask=1,136.1,Martinho Simões,Trimethylplumbyl radical,54576-57-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C54576577&Mask=1,,,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Trimethylplumbyl radical)
B-F,BF3 → BF2• + F•,Boron trifluoride,7637-07-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7637072&Mask=1,-1136.0,"Cox, Wagman, et al., 1984",Difluoroboryl radical,16337-38-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C16337385&Mask=1,,,Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Difluoroboryl radical)
B-Cl,BCl3 → BCl2• + Cl•,Boron trichloride,10294-34-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10294345&Mask=1,-402.96,"Chase, 1998",Dichloroboryl radical,16406-48-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C16406481&Mask=1,,,Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Dichloroboryl radical)
B-C,B(CH3)3 → B(CH3)2• + CH3•,Trimethylborane,593-90-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593908&Mask=1,,,Dimethylboryl radical,64049-64-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C64049645&Mask=1,,,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Trimethylborane), ΔfH°(Dimethylboryl radical)"
HOO-H,H2O2 → HOO• + H•,Hydrogen peroxide,7722-84-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7722841&Mask=1,-136.11,"Chase, 1998",Hydroperoxyl radical,26762-93-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C26762936&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Hydroperoxyl radical)
CH3OO-H,CH3OOH → CH3OO• + H•,Methyl hydroperoxide,3031-73-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3031730&Mask=1,-131.0,"Khursan and Martem'yanov, 1991",Methylperoxy radical,2143-55-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2143557&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Methylperoxy radical)
CH3O-H,CH3OH → CH3O• + H•,Methanol,67-56-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C67561&Mask=1,-205.0,N/A,Methoxy radical,2143-68-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2143682&Mask=1,17.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",440.0,ok,
C2H5O-H,C2H5OH → C2H5O• + H•,Ethanol,64-17-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C64175&Mask=1,-234.0,N/A,Ethoxy radical,3031-74-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3031741&Mask=1,-210.0,"Stathis and Egerton, 1940",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",242.0,ok,
sec-C-H,C3H8 → i-C3H7• + H• (C–H sec),Propane,74-98-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74986&Mask=1,-104.7,"Pittam and Pilcher, 1972",Isopropyl radical,2025-43-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2025436&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Isopropyl radical)
tert-C-H,i-C4H10 → t-C4H9• + H• (C–H tert),Isobutane,75-28-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75285&Mask=1,-134.2,"Pittam and Pilcher, 1972",tert-Butyl radical,1605-73-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1605738&Mask=1,48.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",400.2,ok,
allyl-C-H,CH2CHCH3 → CH2CHCH2• + H• (alílico),Propene,115-07-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C115071&Mask=1,20.41,"Furuyama, Golden, et al., 1969",Allyl radical,1981-80-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1981802&Mask=1,171.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",368.59,ok,
FURAN-C-H,C4H4O → C4H3O• + H•,Furan,110-00-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110009&Mask=1,-27.7,"Zaheeruddin and Lodhi, 1991",Furanyl radical,31235-89-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C31235895&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Furanyl radical)
THIOPH-C-H,C4H4S → C4H3S• + H•,Thiophene,110-02-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C110021&Mask=1,218.4,"Zaheeruddin and Lodhi, 1991",Thienyl radical,24259-74-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C24259743&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Thienyl radical)
IMIDAZ-N-H,C3H4N2 → C3H3N2• + H•,Imidazole,288-32-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C288324&Mask=1,129.5,"Zaheeruddin and Lodhi, 1991",Imidazolyl radical,100518-09-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C100518096&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Imidazolyl radical)
